# Cotisants de chaque régime, observés puis projetés
# source_id: cor_regimes
# unite: personnes
# fiabilite:
#   haute (2010-2070) : effectifs publiés par le COR dans les
#             compléments de son rapport annuel, et recontrôlés par
#             scripts/verifier_donnees.py contre son classeur.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À PONDÉRER les cas types du côté de la RECETTE. La page « Coût »
# fait réagir la recette du système 4 par un rapport de cotisations
# calculé sur la grille des cas types ; chaque cas type y pesait
# jusqu'ici le nombre de RETRAITÉS de sa caisse, faute d'une série
# de cotisants, ce qui surreprésentait les régimes qui s'éteignent.
# Cette série donne les cotisants, et les projette : la SNCF n'en a
# plus aucun en 2070, la CNIEG cinquante et un.
#
# CE QU'IL FAUT SAVOIR AVANT DE S'EN SERVIR
# ------------------------------------------
# 1. LE MILLÉSIME. Ces effectifs viennent des compléments du rapport
#    de JUIN 2024, seul millésime publié : ni 2025 ni 2026 ne les
#    ont reconduits. Le reste du dépôt tourne sur le COR 2026.
# 2. L'ANNÉE DE DÉPART VARIE d'une caisse à l'autre : 2010 le plus
#    souvent, 2015 pour la fonction publique d'État, 2019 pour le
#    RCI, 2023 pour la CNRACL. Hors de la fenêtre de chaque caisse,
#    la valeur de bord est reconduite au niveau « estimée ».
# 3. UN COTISANT DE CAISSE N'EST PAS UNE PERSONNE : un polyaffilié
#    compte dans chacune de ses caisses. Les poids qu'on en tire sont
#    RELATIFS, comme ceux des retraités.
# 4. LA FONCTION PUBLIQUE D'ÉTAT EST D'UN SEUL TENANT, civils et
#    militaires confondus. Le partage entre les deux cas types qui
#    la réclament est une décision du modèle, écrite dans
#    donnees/cotisants.py.
#
# Ne pas modifier ces valeurs à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,caisse,cotisants,fiabilite
2024,cnracl,2194281,haute
2024,crpcen,71544,haute
2024,crpnpac,35654,haute
2024,enim,29825,haute
2024,erafp,4980800,haute
2024,fonction_publique_etat,2035575,haute
2024,fspoeie,17,haute
2024,ircantec,3170319,haute
2024,msa_exploitants,425916,haute
2024,msa_salaries,783816,haute
2024,ratp,39334,haute
2024,rci_complementaire,1745428,haute
2024,sncf,107988,haute
2025,agirc_arrco,20291398,haute
2025,banque_de_france,6214,haute
2025,canssm,718,haute
2025,cnav,22534812,haute
2025,cnavpl,886999,haute
2025,cnbf,73272,haute
2025,cnieg,130721,haute
2025,cnracl,2197537,haute
2025,crpcen,69216,haute
2025,crpnpac,36550,haute
2025,enim,29395,haute
2025,erafp,4992165,haute
2025,fonction_publique_etat,2025251,haute
2025,fspoeie,17,haute
2025,ircantec,3176270,haute
2025,msa_exploitants,419527,haute
2025,msa_salaries,791358,haute
2025,ratp,32597,haute
2025,rci_complementaire,1783474,haute
2025,sncf,103805,haute
2026,agirc_arrco,20501524,haute
2026,banque_de_france,5860,haute
2026,canssm,667,haute
2026,cnav,22826021,haute
2026,cnavpl,843892,haute
2026,cnbf,73137,haute
2026,cnieg,127569,haute
2026,cnracl,2198174,haute
2026,crpcen,64403,haute
2026,crpnpac,37553,haute
2026,enim,28847,haute
2026,erafp,4988952,haute
2026,fonction_publique_etat,2016722,haute
2026,fspoeie,16,haute
2026,ircantec,3181312,haute
2026,msa_exploitants,414073,haute
2026,msa_salaries,799071,haute
2026,ratp,23580,haute
2026,rci_complementaire,1817037,haute
2026,sncf,99705,haute
2027,agirc_arrco,20809600,haute
2027,banque_de_france,5552,haute
2027,canssm,618,haute
2027,cnav,23330886,haute
2027,cnavpl,810392,haute
2027,cnbf,73063,haute
2027,cnieg,124661,haute
2027,cnracl,2199163,haute
2027,crpcen,60477,haute
2027,crpnpac,38661,haute
2027,enim,28199,haute
2027,erafp,4985279,haute
2027,fonction_publique_etat,2010803,haute
2027,fspoeie,15,haute
2027,ircantec,3186905,haute
2027,msa_exploitants,408276,haute
2027,msa_salaries,806958,haute
2027,ratp,22821,haute
2027,rci_complementaire,1845411,haute
2027,sncf,95414,haute
2028,agirc_arrco,21095510,haute
2028,banque_de_france,5317,haute
2028,canssm,565,haute
2028,cnav,23418851,haute
2028,cnavpl,784982,haute
2028,cnbf,73073,haute
2028,cnieg,121773,haute
2028,cnracl,2199167,haute
2028,crpcen,56768,haute
2028,crpnpac,39947,haute
2028,enim,28041,haute
2028,erafp,4982016,haute
2028,fonction_publique_etat,2005292,haute
2028,fspoeie,14,haute
2028,ircantec,3189175,haute
2028,msa_exploitants,402838,haute
2028,msa_salaries,812086,haute
2028,ratp,22020,haute
2028,rci_complementaire,1855257,haute
2028,sncf,92804,haute
2029,agirc_arrco,21258722,haute
2029,banque_de_france,5100,haute
2029,canssm,514,haute
2029,cnav,23488152,haute
2029,cnavpl,765825,haute
2029,cnbf,73109,haute
2029,cnieg,118915,haute
2029,cnracl,2199307,haute
2029,crpcen,53382,haute
2029,crpnpac,41370,haute
2029,enim,27845,haute
2029,erafp,4978066,haute
2029,fonction_publique_etat,2000811,haute
2029,fspoeie,13,haute
2029,ircantec,3189780,haute
2029,msa_exploitants,397516,haute
2029,msa_salaries,814666,haute
2029,ratp,21245,haute
2029,rci_complementaire,1865103,haute
2029,sncf,90179,haute
2030,agirc_arrco,21381065,haute
2030,banque_de_france,4851,haute
2030,canssm,463,haute
2030,cnav,23691741,haute
2030,cnavpl,750696,haute
2030,cnbf,73197,haute
2030,cnieg,116068,haute
2030,cnracl,2199459,haute
2030,crpcen,50050,haute
2030,crpnpac,43727,haute
2030,enim,27633,haute
2030,erafp,4975002,haute
2030,fonction_publique_etat,1996581,haute
2030,fspoeie,12,haute
2030,ircantec,3189902,haute
2030,msa_exploitants,392497,haute
2030,msa_salaries,815960,haute
2030,ratp,20534,haute
2030,rci_complementaire,1874948,haute
2030,sncf,87414,haute
2031,agirc_arrco,21509622,haute
2031,banque_de_france,4590,haute
2031,canssm,416,haute
2031,cnav,23877384,haute
2031,cnavpl,738821,haute
2031,cnbf,73259,haute
2031,cnieg,113277,haute
2031,cnracl,2199650,haute
2031,crpcen,46694,haute
2031,crpnpac,46564,haute
2031,enim,27463,haute
2031,erafp,4972687,haute
2031,fonction_publique_etat,1992868,haute
2031,fspoeie,11,haute
2031,ircantec,3189067,haute
2031,msa_exploitants,387656,haute
2031,msa_salaries,817256,haute
2031,ratp,19832,haute
2031,rci_complementaire,1884794,haute
2031,sncf,84598,haute
2032,agirc_arrco,21639143,haute
2032,banque_de_france,4283,haute
2032,canssm,371,haute
2032,cnav,23973996,haute
2032,cnavpl,729671,haute
2032,cnbf,73383,haute
2032,cnieg,110459,haute
2032,cnracl,2200194,haute
2032,crpcen,43486,haute
2032,crpnpac,49718,haute
2032,enim,27289,haute
2032,erafp,4970977,haute
2032,fonction_publique_etat,1989363,haute
2032,fspoeie,10,haute
2032,ircantec,3188252,haute
2032,msa_exploitants,382879,haute
2032,msa_salaries,818554,haute
2032,ratp,19084,haute
2032,rci_complementaire,1894640,haute
2032,sncf,81032,haute
2033,agirc_arrco,21732568,haute
2033,banque_de_france,3966,haute
2033,canssm,329,haute
2033,cnav,23941719,haute
2033,cnavpl,722640,haute
2033,cnbf,73450,haute
2033,cnieg,107541,haute
2033,cnracl,2200236,haute
2033,crpcen,40600,haute
2033,crpnpac,53126,haute
2033,enim,27115,haute
2033,erafp,4969563,haute
2033,fonction_publique_etat,1986648,haute
2033,fspoeie,9,haute
2033,ircantec,3187414,haute
2033,msa_exploitants,378370,haute
2033,msa_salaries,819854,haute
2033,ratp,18308,haute
2033,rci_complementaire,1897883,haute
2033,sncf,77362,haute
2034,agirc_arrco,21783596,haute
2034,banque_de_france,3693,haute
2034,canssm,287,haute
2034,cnav,24107939,haute
2034,cnavpl,717441,haute
2034,cnbf,73532,haute
2034,cnieg,104447,haute
2034,cnracl,2200120,haute
2034,crpcen,37976,haute
2034,crpnpac,56634,haute
2034,enim,26958,haute
2034,erafp,4967408,haute
2034,fonction_publique_etat,1982823,haute
2034,fspoeie,8,haute
2034,ircantec,3186573,haute
2034,msa_exploitants,374006,haute
2034,msa_salaries,821156,haute
2034,ratp,17509,haute
2034,rci_complementaire,1901672,haute
2034,sncf,73305,haute
2035,agirc_arrco,21835500,haute
2035,banque_de_france,3449,haute
2035,canssm,248,haute
2035,cnav,24272402,haute
2035,cnavpl,713785,haute
2035,cnbf,73579,haute
2035,cnieg,101128,haute
2035,cnracl,2199977,haute
2035,crpcen,35650,haute
2035,crpnpac,59666,haute
2035,enim,26837,haute
2035,erafp,4965361,haute
2035,fonction_publique_etat,1980640,haute
2035,fspoeie,8,haute
2035,ircantec,3185650,haute
2035,msa_exploitants,369815,haute
2035,msa_salaries,822460,haute
2035,ratp,16725,haute
2035,rci_complementaire,1905638,haute
2035,sncf,68666,haute
