# Taux de cotisation vieillesse ANNÉE PAR ANNÉE, régime par régime
# source_id: openfisca_cotisations
#
# Les fiches de data/reference/regimes/ portent un taux par période
# législative — une moyenne de dix à vingt-sept ans, écrite comme telle
# dans leurs notes. Le droit a changé ce taux presque chaque année, et
# c'est lui qui alimente le compte notionnel. Le chargeur des fiches
# (CatalogueRegimes) découpe donc chaque période `plafonnee` de ces
# régimes selon cette table, année par année ; la moyenne de la fiche
# ne sert plus qu'aux années que la table ne couvre pas.
#
# mesure :
#   taux_plafonne              : salarié + employeur, sous plafond
#   part_salariale             : fraction du précédent supportée par le salarié
#   taux_deplafonne            : salarié + employeur, sur la totalité du salaire
#   part_salariale_deplafonnee : fraction du précédent supportée par le salarié
#
# Les non-salariés (cancava, organic, rsi) n'ont que les taux : ils
# paient tout, et la fiche le sait (part_salariale : 1). Les cultes
# (R. 382-89 et R. 382-90), Mayotte et Saint-Pierre-et-Miquelon suivent la
# série du régime général, dont leurs fiches recopiaient les moyennes.
#
# Écrit par scripts/verifier_donnees.py --appliquer depuis
# data/brut/openfisca_cotisations.json ; OpenFisca transcrit les
# décrets sans en être le producteur, d'où le niveau `haute`.
regime,annee,mesure,valeur,fiabilite
cps_saint_pierre_et_miquelon,1997,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,1997,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,1998,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,1998,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,1998,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,1998,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,1999,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,1999,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,1999,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,1999,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,2000,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,2000,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,2000,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,2000,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,2001,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,2001,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,2001,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,2001,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,2002,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,2002,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,2002,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,2002,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,2003,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,2003,part_salariale_deplafonnee,0.000000,haute
cps_saint_pierre_et_miquelon,2003,taux_deplafonne,0.016000,haute
cps_saint_pierre_et_miquelon,2003,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,2004,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,2004,part_salariale_deplafonnee,0.058824,haute
cps_saint_pierre_et_miquelon,2004,taux_deplafonne,0.017000,haute
cps_saint_pierre_et_miquelon,2004,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,2005,part_salariale,0.444068,haute
cps_saint_pierre_et_miquelon,2005,part_salariale_deplafonnee,0.058824,haute
cps_saint_pierre_et_miquelon,2005,taux_deplafonne,0.017000,haute
cps_saint_pierre_et_miquelon,2005,taux_plafonne,0.147500,haute
cps_saint_pierre_et_miquelon,2006,part_salariale,0.444816,haute
cps_saint_pierre_et_miquelon,2006,part_salariale_deplafonnee,0.058824,haute
cps_saint_pierre_et_miquelon,2006,taux_deplafonne,0.017000,haute
cps_saint_pierre_et_miquelon,2006,taux_plafonne,0.149500,haute
cps_saint_pierre_et_miquelon,2007,part_salariale,0.444816,haute
cps_saint_pierre_et_miquelon,2007,part_salariale_deplafonnee,0.058824,haute
cps_saint_pierre_et_miquelon,2007,taux_deplafonne,0.017000,haute
cps_saint_pierre_et_miquelon,2007,taux_plafonne,0.149500,haute
cps_saint_pierre_et_miquelon,2008,part_salariale,0.444816,haute
cps_saint_pierre_et_miquelon,2008,part_salariale_deplafonnee,0.058824,haute
cps_saint_pierre_et_miquelon,2008,taux_deplafonne,0.017000,haute
cps_saint_pierre_et_miquelon,2008,taux_plafonne,0.149500,haute
cps_saint_pierre_et_miquelon,2009,part_salariale,0.444816,haute
cps_saint_pierre_et_miquelon,2009,part_salariale_deplafonnee,0.058824,haute
cps_saint_pierre_et_miquelon,2009,taux_deplafonne,0.017000,haute
cps_saint_pierre_et_miquelon,2009,taux_plafonne,0.149500,haute
cps_saint_pierre_et_miquelon,2010,part_salariale,0.444816,haute
cps_saint_pierre_et_miquelon,2010,part_salariale_deplafonnee,0.058824,haute
cps_saint_pierre_et_miquelon,2010,taux_deplafonne,0.017000,haute
cps_saint_pierre_et_miquelon,2010,taux_plafonne,0.149500,haute
cps_saint_pierre_et_miquelon,2011,part_salariale,0.444816,haute
cps_saint_pierre_et_miquelon,2011,part_salariale_deplafonnee,0.058824,haute
cps_saint_pierre_et_miquelon,2011,taux_deplafonne,0.017000,haute
cps_saint_pierre_et_miquelon,2011,taux_plafonne,0.149500,haute
cps_saint_pierre_et_miquelon,2012,part_salariale,0.445545,haute
cps_saint_pierre_et_miquelon,2012,part_salariale_deplafonnee,0.058824,haute
cps_saint_pierre_et_miquelon,2012,taux_deplafonne,0.017000,haute
cps_saint_pierre_et_miquelon,2012,taux_plafonne,0.151500,haute
cps_saint_pierre_et_miquelon,2013,part_salariale,0.445545,haute
cps_saint_pierre_et_miquelon,2013,part_salariale_deplafonnee,0.058824,haute
cps_saint_pierre_et_miquelon,2013,taux_deplafonne,0.017000,haute
cps_saint_pierre_et_miquelon,2013,taux_plafonne,0.151500,haute
cps_saint_pierre_et_miquelon,2014,part_salariale,0.445902,haute
cps_saint_pierre_et_miquelon,2014,part_salariale_deplafonnee,0.125000,haute
cps_saint_pierre_et_miquelon,2014,taux_deplafonne,0.020000,haute
cps_saint_pierre_et_miquelon,2014,taux_plafonne,0.152500,haute
cps_saint_pierre_et_miquelon,2015,part_salariale,0.446254,haute
cps_saint_pierre_et_miquelon,2015,part_salariale_deplafonnee,0.142857,haute
cps_saint_pierre_et_miquelon,2015,taux_deplafonne,0.021000,haute
cps_saint_pierre_et_miquelon,2015,taux_plafonne,0.153500,haute
cps_saint_pierre_et_miquelon,2016,part_salariale,0.446602,haute
cps_saint_pierre_et_miquelon,2016,part_salariale_deplafonnee,0.159091,haute
cps_saint_pierre_et_miquelon,2016,taux_deplafonne,0.022000,haute
cps_saint_pierre_et_miquelon,2016,taux_plafonne,0.154500,haute
cps_saint_pierre_et_miquelon,2017,part_salariale,0.446602,haute
cps_saint_pierre_et_miquelon,2017,part_salariale_deplafonnee,0.173913,haute
cps_saint_pierre_et_miquelon,2017,taux_deplafonne,0.023000,haute
cps_saint_pierre_et_miquelon,2017,taux_plafonne,0.154500,haute
cps_saint_pierre_et_miquelon,2018,part_salariale,0.446602,haute
cps_saint_pierre_et_miquelon,2018,part_salariale_deplafonnee,0.173913,haute
cps_saint_pierre_et_miquelon,2018,taux_deplafonne,0.023000,haute
cps_saint_pierre_et_miquelon,2018,taux_plafonne,0.154500,haute
cps_saint_pierre_et_miquelon,2019,part_salariale,0.446602,haute
cps_saint_pierre_et_miquelon,2019,part_salariale_deplafonnee,0.173913,haute
cps_saint_pierre_et_miquelon,2019,taux_deplafonne,0.023000,haute
cps_saint_pierre_et_miquelon,2019,taux_plafonne,0.154500,haute
cps_saint_pierre_et_miquelon,2020,part_salariale,0.446602,haute
cps_saint_pierre_et_miquelon,2020,part_salariale_deplafonnee,0.173913,haute
cps_saint_pierre_et_miquelon,2020,taux_deplafonne,0.023000,haute
cps_saint_pierre_et_miquelon,2020,taux_plafonne,0.154500,haute
cps_saint_pierre_et_miquelon,2021,part_salariale,0.446602,haute
cps_saint_pierre_et_miquelon,2021,part_salariale_deplafonnee,0.173913,haute
cps_saint_pierre_et_miquelon,2021,taux_deplafonne,0.023000,haute
cps_saint_pierre_et_miquelon,2021,taux_plafonne,0.154500,haute
cps_saint_pierre_et_miquelon,2022,part_salariale,0.446602,haute
cps_saint_pierre_et_miquelon,2022,part_salariale_deplafonnee,0.173913,haute
cps_saint_pierre_et_miquelon,2022,taux_deplafonne,0.023000,haute
cps_saint_pierre_et_miquelon,2022,taux_plafonne,0.154500,haute
cps_saint_pierre_et_miquelon,2023,part_salariale,0.446602,haute
cps_saint_pierre_et_miquelon,2023,part_salariale_deplafonnee,0.173913,haute
cps_saint_pierre_et_miquelon,2023,taux_deplafonne,0.023000,haute
cps_saint_pierre_et_miquelon,2023,taux_plafonne,0.154500,haute
cps_saint_pierre_et_miquelon,2024,part_salariale,0.446602,haute
cps_saint_pierre_et_miquelon,2024,part_salariale_deplafonnee,0.165289,haute
cps_saint_pierre_et_miquelon,2024,taux_deplafonne,0.024200,haute
cps_saint_pierre_et_miquelon,2024,taux_plafonne,0.154500,haute
cps_saint_pierre_et_miquelon,2025,part_salariale,0.446602,haute
cps_saint_pierre_et_miquelon,2025,part_salariale_deplafonnee,0.165289,haute
cps_saint_pierre_et_miquelon,2025,taux_deplafonne,0.024200,haute
cps_saint_pierre_et_miquelon,2025,taux_plafonne,0.154500,haute
cps_saint_pierre_et_miquelon,2026,part_salariale,0.446602,haute
cps_saint_pierre_et_miquelon,2026,part_salariale_deplafonnee,0.159363,haute
cps_saint_pierre_et_miquelon,2026,taux_deplafonne,0.025100,haute
cps_saint_pierre_et_miquelon,2026,taux_plafonne,0.154500,haute
cssm_mayotte,1987,part_salariale,0.445946,haute
cssm_mayotte,1987,part_salariale_deplafonnee,0.000000,haute
